Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:10:43][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part020.zip success. index:168924 file size:193,08 MB
[2025-12-01 19:10:44][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part021.zip index:181879
[2025-12-01 19:10:54][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part021.zip success. index:181879 file size:193,16 MB
[2025-12-01 19:10:55][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part022.zip index:194647
[2025-12-01 19:11:05][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part022.zip success. index:194647 file size:193,06 MB
[2025-12-01 19:11:06][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part023.zip index:207536
[2025-12-01 19:11:16][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part023.zip success. index:207536 file size:193,33 MB
[2025-12-01 19:11:17][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part024.zip index:220554
[2025-12-01 19:11:27][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part024.zip success. index:220554 file size:193,05 MB
[2025-12-01 19:11:28][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part025.zip index:233022
[2025-12-01 19:11:38][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part025.zip success. index:233022 file size:193,38 MB
